MonthYear,country_code,country_name,GPI_score,gpi_predicted
201307,SP,Spain,1.6485,1.69617621944444
201308,SP,Spain,1.6454166666666663,1.6951082166666698
201309,SP,Spain,1.6423333333333332,1.70769967777778
201310,SP,Spain,1.63925,1.6809838666666699
201311,SP,Spain,1.6361666666666663,1.66762425833333
201312,SP,Spain,1.6330833333333332,1.6821230805555503
201401,SP,Spain,1.63,1.68896512222222
201402,SP,Spain,1.6238333333333332,1.6576923694444499
201403,SP,Spain,1.6176666666666666,1.67224229722222
201404,SP,Spain,1.6115,1.65406205833333
201405,SP,Spain,1.6053333333333333,1.65321751944444
201406,SP,Spain,1.5991666666666666,1.6657796138888898
201407,SP,Spain,1.5930000000000002,1.6594520638888899
201408,SP,Spain,1.586833333333333,1.66506193611111
201409,SP,Spain,1.5806666666666669,1.65152198888889
201410,SP,Spain,1.5745,1.65201416944444
201411,SP,Spain,1.5683333333333334,1.63405827222222
201412,SP,Spain,1.5621666666666667,1.62710059444444
201501,SP,Spain,1.556,1.6290118888888898
201502,SP,Spain,1.5581666666666667,1.60571402222222
201503,SP,Spain,1.5603333333333331,1.59484220277778
201504,SP,Spain,1.5625,1.58389866111111
201505,SP,Spain,1.5646666666666669,1.5914313111111102
201506,SP,Spain,1.5668333333333333,1.57401808888889
201507,SP,Spain,1.569,1.568699225
201508,SP,Spain,1.5711666666666668,1.57243240833333
201509,SP,Spain,1.5733333333333337,1.5765323999999998
201510,SP,Spain,1.5755,1.57102402222222
201511,SP,Spain,1.5776666666666668,1.5745931166666698
201512,SP,Spain,1.5798333333333334,1.57284888611111
201601,SP,Spain,1.5819999999999999,1.56986617777778
201602,SP,Spain,1.5795,1.5719309833333301
201603,SP,Spain,1.577,1.57046758888889
201604,SP,Spain,1.5745,1.57735570833333
201605,SP,Spain,1.5719999999999998,1.57581345555555
201606,SP,Spain,1.5695,1.57498497222222
201607,SP,Spain,1.567,1.57147495277778
201608,SP,Spain,1.5645,1.57621980277778
201609,SP,Spain,1.5619999999999998,1.5732394333333302
201610,SP,Spain,1.5595,1.57307751666667
201611,SP,Spain,1.557,1.56950623611111
201612,SP,Spain,1.5544999999999998,1.57276975
201701,SP,Spain,1.5519999999999998,1.57157187222222
201702,SP,Spain,1.5623333333333331,1.56993454444444
201703,SP,Spain,1.5726666666666664,1.56779598888889
201704,SP,Spain,1.5829999999999995,1.5713148000000001
201705,SP,Spain,1.5933333333333333,1.5705717361111102
201706,SP,Spain,1.6036666666666666,1.57243495555556
201707,SP,Spain,1.614,1.5727870111111102
201708,SP,Spain,1.6243333333333332,1.57529286111111
201709,SP,Spain,1.6346666666666665,1.5861311055555503
201710,SP,Spain,1.645,1.6111089555555502
201711,SP,Spain,1.655333333333333,1.59651756944444
201712,SP,Spain,1.6656666666666666,1.59046992777778
201801,SP,Spain,1.676,1.58544375555555
201802,SP,Spain,1.6779166666666665,1.5762950916666698
201803,SP,Spain,1.6798333333333333,1.6185386194444498
201804,SP,Spain,1.68175,1.6214231000000001
201805,SP,Spain,1.6836666666666666,1.5994399861111102
201806,SP,Spain,1.6855833333333332,1.59475811666666
201807,SP,Spain,1.6875,1.62834429166667
201808,SP,Spain,1.6894166666666668,1.60481075277778
201809,SP,Spain,1.6913333333333334,1.63101325277778
201810,SP,Spain,1.69325,1.62309013333333
201811,SP,Spain,1.6951666666666667,1.61113412222222
